LICENCE_NUMBER,CURRENT_AREA_HA,AGRMT_TYPE,DATUM,REGION_E,REGION_F,COMPANY_NAME,LICENCE_ISSUE_DATE,LICENCE_EXPIRY_DATE,AGRMT_TYPE_E,AGRMT_TYPE_F,SHAPE.AREA,SHAPE.LEN,LONGITUDE,LATITUDE,COORD_SYS
SDL071,5347,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-103.08333333399997,78.08333333399997,GCS_North_American_1983_CSRS
SDL072,18389,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-106.5625,77.183333334,GCS_North_American_1983_CSRS
SDL073,32169,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-103.5,77.44999999999999,GCS_North_American_1983_CSRS
SDL074,32785,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-106.0625,77.316666666,GCS_North_American_1983_CSRS
SDL070,18130,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870901,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-100.625,77.76666666599999,GCS_North_American_1983_CSRS
SDL075,6112,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-100.1875,77.60000000000002,GCS_North_American_1983_CSRS
SDL076,8758,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870901,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-104.625,77.78333333299997,GCS_North_American_1983_CSRS
SDL077,4276,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-84.25,79.78333333400002,GCS_North_American_1983_CSRS
SDL078,9856,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-109.5625,76.683333334,GCS_North_American_1983_CSRS
SDL054,9768,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19870501,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-134.16666666700002,69.98333333400001,GCS_North_American_1983_CSRS
SDL055,2072,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19870422,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-134,69.933333334,GCS_North_American_1983_CSRS
SDL058,7168,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19870422,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.91666666700002,69.75,GCS_North_American_1983_CSRS
SDL061,4504,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19870422,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.79166666700002,69.633333333,GCS_North_American_1983_CSRS
SDL053,888,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19870422,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-134.33333333299998,69.933333334,GCS_North_American_1983_CSRS
SDL065,5081,SDL,NAD27,Beaufort Sea,mer de Beaufort,Imperial Oil Resources Limited,19870422,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-132,69.75,GCS_North_American_1983_CSRS
SDL066,3548,SDL,NAD27,Arctic Islands,îles de l'Arctique,BP Canada Energy Group ULC,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-102.3125,77.85000000000002,GCS_North_American_1983_CSRS
SDL067,8198,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-104.66666666600003,78.18333333300001,GCS_North_American_1983_CSRS
SDL068,5721,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-100.83333333399997,78.05000000000001,GCS_North_American_1983_CSRS
SDL069,12347,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-102,78.21666666599998,GCS_North_American_1983_CSRS
SDL079-CAN,65883,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870319,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-110.125,76.28333333400002,GCS_North_American_1983_CSRS
SDL080,10355,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870901,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-107.25,76.48333333300002,GCS_North_American_1983_CSRS
SDL081,63083,SDL,NAD27,Arctic Islands,îles de l'Arctique,Suncor Energy Inc.,19870710,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-107.75,76.36666666600001,GCS_North_American_1983_CSRS
SDL082,14871,SDL,NAD27,Gulf of St-Lawrence,Golf du St-Laurent,BP Canada Energy Group ULC,19870215,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-61.52499999999998,46.60000000000002,GCS_North_American_1983_CSRS
SDL083,11692,SDL,NAD27,Beaufort Sea,mer de Beaufort,ConocoPhillips Canada Resources Corp.,19890222,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-134.05,70.03333333299997,GCS_North_American_1983_CSRS
SDL084,6244,SDL,NAD27,Beaufort Sea,mer de Beaufort,ConocoPhillips Canada Resources Corp.,19890222,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.75,69.83333333299998,GCS_North_American_1983_CSRS
SDL085,1396,SDL,NAD27,Beaufort Sea,mer de Beaufort,ConocoPhillips Canada Resources Corp.,19890222,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-134,70.31666666699999,GCS_North_American_1983_CSRS
SDL086,12181,SDL,NAD27,Beaufort Sea,mer de Beaufort,ConocoPhillips Canada Resources Corp.,19890222,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-135.95833333399997,69.85000000000002,GCS_North_American_1983_CSRS
SDL087,3872,SDL,NAD27,Beaufort Sea,mer de Beaufort,ConocoPhillips Canada Resources Corp.,19890222,,Significant Discovery Licence,attestation de dècouverte importante,0,0,-132.64999999999998,70.133333333,GCS_North_American_1983_CSRS
EL479,203635,EL,NAD27,Beaufort Sea,mer de Beaufort,BP Exploration Operating Company Limited,20120901,20200930,Exploration Licence,permis de prospection,0,0,-131.95,70.5,GCS_North_American_1983_CSRS
EL481,205946,EL,NAD27,Beaufort Sea,mer de Beaufort,Chevron Canada Limited,20120901,20210831,Exploration Licence,permis de prospection,0,0,-137.10000000000002,70.68333333300001,GCS_North_American_1983_CSRS
EL483,196497,EL,NAD27,Beaufort Sea,mer de Beaufort,ConocoPhillips Canada Resources Corp.,20120901,20200930,Exploration Licence,permis de prospection,0,0,-133.7,70.25,GCS_North_American_1983_CSRS
EL485,29350,EL,NAD27,Beaufort Sea,mer de Beaufort,Franklin Petroleum Canada Limited,20120901,20210831,Exploration Licence,permis de prospection,0,0,-135,70.05000000000001,GCS_North_American_1983_CSRS
