AREA_SQ_MI,AREA_ACRE,PERIMETER,Trigger_,Shape__Area,Shape__Length,OBJECTID,NAME,FIELD_CODE,StartDate,EndDate,NoticeDate,District_pre2018,District,District_Label
2.91,1861,6.83,,10632758.449493,13038.6181880028,608,Bandini,034,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.78,489.5,3.57,,3022514.52805497,6999.00927530465,609,"Los Angeles, East",426,1111/01/01 00:00:00+00,,,1,Southern,Southern District
5.82,3727,12.14,,21609212.568579,23421.9626848708,610,Montebello,478,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.66,420,3.57,,2410458.66185753,6862.05515661931,611,Lapworth (ABD),378,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.98,624.5,3.95,,3687335.28170417,7680.66016584223,612,"Whittier Heights, North (ABD)",838,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.94,600,3.88,,3536966.56116519,7531.523766026,613,Turnbull (ABD),796,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.97,618.9,3.93,,3756639.34289001,7753.8613504676,614,Walnut,820,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.53,341.2,2.92,,2022894.41027963,5694.11774240818,615,Rowland (ABD),630,1111/01/01 00:00:00+00,,,1,Southern,Southern District
5.4,3466,15.96,,20308787.2132719,31066.297142639,616,Whittier,836,1111/01/01 00:00:00+00,,,1,Southern,Southern District
4.79,3071,11.17,,17570946.5221538,21363.148766261,617,Sansinena,660,1111/01/01 00:00:00+00,,,1,Southern,Southern District
11.88,7527,20.35,,44565760.4412117,39568.4642173133,618,Brea-Olinda,070,1111/01/01 00:00:00+00,,,1,Southern,Southern District
3.34,2331,7.86,,13370223.0127811,15888.5649855794,619,Yorba Linda (ABD),856,1111/01/01 00:00:00+00,,,1,Southern,Southern District
9.26,5838,15.21,,33865539.3140347,28961.6054978719,620,"Coyote, East",178,1111/01/01 00:00:00+00,,,1,Southern,Southern District
7.07,4523,11.07,,26498823.1365457,21420.6239200907,621,"Coyote, West (ABD)",180,1111/01/01 00:00:00+00,,,1,Southern,Southern District
8.29,5057,12.18,,31220536.1276824,23643.414861759,622,Richfield,598,1111/01/01 00:00:00+00,,,1,Southern,Southern District
1.48,972.2,4.97,,5732711.37761455,9816.95809401795,623,Leffingwell (ABD),396,1111/01/01 00:00:00+00,,,1,Southern,Southern District
4.27,2731,9.24,,15692149.5056033,17738.6124611217,624,Santa Fe Springs,666,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.1,65.38,1.31,,385187.60859294,2538.56660026277,625,Newgate (ABD),496,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.74,472.4,3.99,,2827943.91818905,7745.18994393531,626,La Mirada (ABD),376,1111/01/01 00:00:00+00,,,1,Southern,Southern District
0.69,441.7,3.34,,2611304.65902547,6494.80130552604,627,"Buena Park, East (ABD)",076,1111/01/01 00:00:00+00,,,1,Southern,Southern District
1.48,945,4.96,,5541255.77436926,9604.57296805941,628,Olive,522,1111/01/01 00:00:00+00,,,1,Southern,Southern District
