"Предприятия, организации,""с начала года"",""январь"",""февраль"",""март"",""апрель"",""май"",""июнь"",""июль"",""август"",""сентябрь"",""октябрь"",""ноябрь"",""декабрь"""
" ПАО ""ЛУКОЙЛ"",""82124,436"",""7037,933"",""6326,943"",""6979,047"",""6705,3"",""6974,57"",""6794,448"",""7030,812"",""6977,897"",""6710,359"",""6943,5"",""6705,038"",""6938,589"""
" ООО ""ЛУКОЙЛ-Западная Сибирь"",""34202,82"",""2935,933"",""2644,021"",""2907,926"",""2789,231"",""2907,261"",""2827,461"",""2929,196"",""2904,98"",""2816,138"",""2882,578"",""2784,752"",""2873,343"""
" ООО СП ""Волгодеминойл"",""453,159"",""39,866"",""35,252"",""40,61"",""39,12"",""40,25"",""38,561"",""40,033"",""37,535"",""34,011"",""38,684"",""35,009"",""34,228"""
" ООО ""ЛУКОЙЛ-АИК"",""1598,822"",""137,238"",""123,543"",""136,37"",""131,706"",""135,985"",""132,6"",""139,775"",""136,4"",""130,335"",""133,249"",""128,153"",""133,468"""
" ООО ""ПермТОТИнефть"",""213,294"",""17,524"",""15,777"",""17,501"",""16,956"",""18,03"",""18"",""18,6"",""18,6"",""18"",""17,706"",""18"",""18,6"""
" ООО ""Турсунт"",""75,958"",""6,919"",""6,151"",""6,703"",""6,394"",""6,532"",""6,221"",""6,329"",""6,34"",""6,1"",""6,237"",""5,966"",""6,066"""
" ООО ""ЛУКОЙЛ-Калининградморнефть"",""540,496"",""45,563"",""40,653"",""44,47"",""42,486"",""44,508"",""43,845"",""44,893"",""48,479"",""46,413"",""47,405"",""45,397"",""46,384"""
" ООО ""ЛУКОЙЛ-Коми"",""16098,558"",""1382,948"",""1239,514"",""1365,13"",""1326,49"",""1363,549"",""1328,11"",""1398,146"",""1361,024"",""1329,249"",""1366,61"",""1297,008"",""1340,78"""
" ООО ""ЛУКОЙЛ-Нижневолжскнефть"",""7369,059"",""640,149"",""569,673"",""635,94"",""612,117"",""630,701"",""613,814"",""597,674"",""617,362"",""538,735"",""637,224"",""627,479"",""648,191"""
" ООО  ""ЛУКОЙЛ-Пермь"",""14939,258"",""1264,193"",""1142,416"",""1264,522"",""1208,152"",""1263,565"",""1229,334"",""1280,987"",""1271,412"",""1233,414"",""1264,023"",""1236,23"",""1281,01"""
" ООО ""УралОйл"",""588,188"",""51,61"",""46,441"",""50,545"",""47,309"",""49,193"",""47,927"",""49,729"",""49,752"",""47,979"",""48,327"",""47,47"",""51,906"""
" ООО ""Южно-Сардаковское"",""3,506"",""0"",""0,32"",""2,184"",""1,002"",""0"",""   "",""   "",""   "",""   "",""   "",""   "",""0"""
" ""РИТЭК""  Всего,""6041,318"",""515,99"",""463,182"",""507,146"",""484,337"",""514,996"",""508,575"",""525,45"",""526,013"",""509,985"",""501,457"",""479,574"",""504,613"""
