API Well Number;County;Company Name;API Hole Number;Sidetrack;Completion;Well Type;Production Field Name;Well Status;Well Name;Town;Producing Formation;Months in Production;Gas Produced, MCF;Water Produced, bbl;Reporting Year;Location 1
3,10132E+13;13;REI-NY, Inc.;17715;0;0;GD;Lakeshore;IN;Piazza 3;Gerry;Medina;0;1568;1;1989;Gerry, NY
3,10132E+13;13;Skubis, Daniel J.;20845;0;0;GD;Lakeshore;IN;S. Skubis #1;Pomfret;Medina;12;2691;0;1990;Pomfret, NY
3,10112E+13;11;Dunn, Walter J;16844;0;0;GW;West Auburn;AC;Dunn 1;Scipio;Queenston;12;0;0;1991;Scipio, NY
3,10131E+13;13;20 Bliss Street, Inc.;12045;0;0;GD;Lakeshore;AC;Plank 1;Pomfret;Medina;12;2540;0;1991;Pomfret, NY
3,10131E+13;13;Belden & Blake Corporation;11281;0;0;GD;Lakeshore;AC;Morse 2;Pomfret;Medina;0;0;0;1991;Pomfret, NY
3,10131E+13;13;20 Bliss Street, Inc.;12045;0;0;GD;Lakeshore;AC;Plank 1;Pomfret;Medina;12;2596;0;1993;Pomfret, NY
3,10291E+13;29;Robnett, William F.;14466;0;0;GD;Akron;IN;Robnett 1;Newstead;Medina;0;0;0;1993;Newstead, NY
3,10131E+13;13;20 Bliss Street, Inc.;12045;0;0;GD;Lakeshore;AC;Plank 1;Pomfret;Medina;12;2591;0;1994;Pomfret, NY
3,10131E+13;13;Gloor, Robert;11721;0;0;GD;Lakeshore;AC;Gloor 1;Pomfret;Medina;12;0;0;1995;Pomfret, NY
3,10112E+13;11;Dunn, Walter J;16844;0;0;GW;West Auburn;AC;Dunn 1;Scipio;Queenston;12;0;0;1997;Scipio, NY
3,10132E+13;13;Emke, Diane;18879;0;0;GD;Lakeshore;AC;Emke, D #6327;Villenova;Medina;0;0;0;1997;Villenova, NY
3,10131E+13;13;20 Bliss Street, Inc.;11918;0;0;GD;Lakeshore;IN;Civiletto 1;Pomfret;Medina;0;0;0;1999;Pomfret, NY
3,10131E+13;13;Lenape Resources, Inc.;10883;0;0;GD;Lakeshore;IN;Longhouse 64;Pomfret;Medina;0;0;0;1985;Pomfret, NY
3,10131E+13;13;Belden & Blake Corporation;11678;0;0;GD;Lakeshore;AC;Joy 1259 #1;Pomfret;Medina;12;1783;0;1986;Pomfret, NY
3,10136E+13;13;Seneca Resources Corp.;60331;0;0;GD;Lakeshore;AC;Hall 31947-I;Pomfret;Medina;12;2958;0;1989;Pomfret, NY
3,10131E+13;13;Belden & Blake Corporation;12130;0;0;GD;Lakeshore;AC;Beebe 1232;Pomfret;Medina;12;2483;0;1989;Pomfret, NY
3,10112E+13;11;OI Auburn, Inc.;17517;0;0;GD;West Auburn;AC;Fuller A118-6;Aurelius;Queenston;12;11210;0;1987;Aurelius, NY
3,10131E+13;13;Meridian Exploration Corp.;9355;0;0;GW;Lakeshore;PA;Newman James 1;Pomfret;Medina;8;2849;0;1986;Pomfret, NY
3,10112E+13;11;F & G Exploration;17442;0;0;GD;West Auburn;AC;Dougherty 1;Springport;Queenston;12;7349;0;1987;Springport, NY
3,10111E+13;11;OI Auburn, Inc.;13589;0;0;GE;West Auburn;AC;Shank Sp100-1;Springport;Queenston;12;6736;0;1989;Springport, NY
3,10132E+13;13;Chautauqua Energy,  Inc.;20406;0;0;GD;Lakeshore;AC;ABC Paving #1;Pomfret;Medina;12;6044;0;1989;Pomfret, NY
3,10132E+13;13;Lenape Resources, Inc.;18586;0;0;GD;Lakeshore;AC;McNamara #2;Villenova;Medina;7;4877;0;1986;Villenova, NY
3,10131E+13;13;Desert Gas Exploration, Inc.;13157;0;0;GD;Lakeshore;AC;McPherson#1;Pomfret;Medina;0;14216;0;1986;Pomfret, NY
3,10131E+13;13;Belden & Blake Corporation;11358;0;0;GD;Lakeshore;AC;Vinciaguerra 1206;Pomfret;Medina;0;0;0;1987;Pomfret, NY
3,10092E+13;9;Fault Line Oil Corp.;21114;0;0;GD;Chaffee-Arcade;AC;Titus #1a;Yorkshire;Medina;0;0;0;1988;Yorkshire, NY
3,10131E+13;13;Desert Gas Exploration, Inc.;13050;0;0;GD;Lakeshore;AC;Newton #2;Pomfret;Medina;0;1053;0;1986;Pomfret, NY
3,10112E+13;11;F & G Exploration;20422;0;0;GD;West Auburn;AC;Bacon J 2;Springport;Queenston;12;46988;0;1987;Springport, NY
