Production Date Entered,County,Town,Producing Formation,Active Oil Wells,Inactive Oil Wells,Active Gas Wells,Inactive Gas Wells,Oil Produced bbl,Gas Produced Mcf
1996,Erie, BUFFALO, MEDINA,0,0,1,0,0,106
1996,Steuben, WEST UNION, FULMER VALLEY,28,0,0,0,1229,0
1995,Cattaraugus, CARROLLTON, BRADFORD,3,0,0,0,462,0
1995,Erie, CHEEKTOWAGA, MEDINA,0,0,1,0,0,530
1997,Cattaraugus, ALLEGANY, BRADFORD,10,0,0,0,45,0
1996,Chautauqua, SHERIDAN, MEDINA,0,0,13,2,0,27742
1998,Chautauqua, ELLERY, ONONDAGA-BASS ISLAND,1,3,1,0,96,1582
1995,Genesee, LE ROY, MEDINA,0,0,1,0,0,500
1996,Allegany, WILLING, ORISKANY,0,0,1,3,120,44927
1996,Chautauqua, VILLENOVA, MEDINA,0,0,1,0,0,100
1998,Chautauqua, ELLERY, MEDINA,0,0,1,0,0,2351
1995,Genesee, STAFFORD, MEDINA,0,0,1,0,760,1331
1995,Cattaraugus, CARROLLTON, CHIPMUNK,8,0,0,0,287,0
1995,Cattaraugus, OTTO, MEDINA,0,0,1,0,87,758
1995,Chautauqua, ARKWRIGHT, MEDINA,0,0,2,0,45,10516
1995,Erie, COLDEN, MEDINA,0,0,1,0,0,0
1997,Chautauqua, ELLINGTON, MEDINA,0,0,57,1,345,121585
1998,Wyoming, PERRY, MEDINA,0,0,0,1,0,0
1999,Chautauqua, CHAUTAUQUA, MEDINA,0,0,3,0,43,11807
1995,Chautauqua, ARKWRIGHT, MEDINA,0,0,69,7,450,107837
1999,Wyoming, SHELDON, MEDINA,0,0,30,0,672,40509
1996,Wyoming, BENNINGTON, MEDINA,0,0,1,0,0,0
1995,Allegany, INDEPENDENCE, FULMER VALLEY,2,1,0,0,155,0
1995,Erie, ORCHARD PARK, MEDINA,0,0,2,0,234,4465
1996,Chautauqua, BUSTI, MEDINA,0,0,1,0,456,0
1997,Erie, HAMBURG, MEDINA,0,0,0,1,0,0
1995,Erie, EVANS, MEDINA,0,0,4,0,0,10575
1996,Chautauqua, BUSTI, MEDINA,0,0,1,0,0,250
1995,Steuben, WEST UNION, FULMER VALLEY,5,2,0,0,41,1471
1997,Erie, NORTH COLLINS, AKRON,0,0,1,0,0,100
1996,Chautauqua, ELLICOTT, MEDINA,0,0,4,0,0,2570
1997,Genesee, PEMBROKE, MEDINA,0,0,2,0,0,6624
1995,Chautauqua, CHARLOTTE, ONONDAGA-BASS ISLAND,1,1,0,0,564,2271
1996,Erie, LANCASTER, MEDINA,0,0,5,1,123,26041
1998,Erie, TONAWANDA, MEDINA,0,0,3,230,1200
1996,Allegany, ANDOVER, FULMER VALLEY,6,0,0,0,404,0
1995,Seneca, FAYETTE, QUEENSTON,0,0,1,0,432,0
1996,Livingston, LEICESTER, MEDINA,0,0,2,3,166,1352
1995,Genesee, DARIEN, MEDINA,0,0,7,0,124,29563
1995,Cattaraugus, ALLEGANY, BRADFORD,0,65,0,0,0,0
1995,Cayuga, SPRINGPORT, QUEENSTON,0,0,1,0,0,0
1997,Chautauqua, BUSTI, GLADE,0,1,0,2,0,0
1998,Erie, HAMBURG, MEDINA,0,0,1,0,0,1000
1996,Chautauqua, CHAUTAUQUA, MEDINA,0,0,1,0,154,2923
1998,Chautauqua, CLYMER, MEDINA,0,0,1,0,0,0
1997,Cayuga, OWASCO, QUEENSTON,0,0,1,0,0,400
1995,Erie, CONCORD, MEDINA,0,0,2,0,0,694
1996,Allegany, ALMA, RICHBURG,0,10,0,0,0,0
1998,Allegany, ALMA, RICHBURG,0,0,2,0,0,219
1995,Steuben, HOWARD, ,0,0,0,1,0,0
1996,Wyoming, PERRY, MEDINA,0,0,1,0,0,135
1995,Cattaraugus, EAST OTTO, MEDINA,0,0,3,0,165,2346
1998,Steuben, JASPER, ORISKANY,0,0,1,1,0,38756
1997,Cattaraugus, LEON, MEDINA,0,0,3,0,0,26555
1995,Erie, BRANT, MEDINA,0,0,1,0,0,1684
1995,Cattaraugus, ALLEGANY, CHIPMUNK,9,0,0,0,23,0
1996,Chautauqua, ARKWRIGHT, MEDINA,0,0,1,0,135,100
1995,Erie, CHEEKTOWAGA, MEDINA,0,0,0,3,0,0
1995,Cattaraugus, OLEAN, BRADFORD,10,0,0,0,193,0
1995,Erie, LANCASTER, MEDINA,0,0,3,0,0,23672
1997,Chautauqua, RIPLEY, MEDINA,0,0,1,0,0,100
1996,Erie, NEWSTEAD, MEDINA,0,0,0,1,0,0
1996,Genesee, STAFFORD, MEDINA,0,0,1,0,0,364
1996,Allegany, ALMA, ORISKANY,0,0,2,0,0,6332
1998,Cattaraugus, ALLEGANY, CHIPMUNK & BRADFORD 2ND,162,0,0,0,1260,0
1996,Queens, QUEENS, ,0,0,0,5,0,0
1997,Cattaraugus, OTTO, MEDINA,0,0,39,0,129,69103
1996,Erie, HAMBURG, MEDINA,0,0,1,0,192,384
1995,Erie, ALDEN, MEDINA,0,0,6,1,298,12577
1995,Allegany, BOLIVAR, RICHBURG,0,2,0,0,0,0
1995,Cattaraugus, OLEAN, BRADFORD,0,3,0,0,0,0
1997,Allegany, SCIO, RICHBURG,2,0,0,0,31,0
1996,Steuben, CAMERON, ORISKANY,0,0,1,0,0,0
1996,Allegany, ALMA, RICHBURG,0,28,0,0,0,0
1996,Erie, EDEN, MEDINA,0,0,4,0,0,2949
1996,Cattaraugus, CARROLLTON, BRADFORD,1,0,0,0,84,0
1995,Cattaraugus, CARROLLTON, BRADFORD,0,6,0,0,0,0
1998,Allegany, ALMA, UPPER DEVONIAN,0,0,25,0,0,5102
1997,Erie, NORTH COLLINS, ORISKANY,0,0,1,0,0,228
1998,Genesee, BATAVIA, MEDINA,0,0,16,1,0,36731
1997,Allegany, GENESEE, RICHBURG,0,1,0,0,0,5
1998,Chautauqua, CHAUTAUQUA, MEDINA,0,0,3,0,145,445
1995,Erie, LANCASTER, MEDINA,0,0,0,1,0,0
1995,Chautauqua, NORTH HARMONY, MEDINA,0,0,13,3,135,48888
1996,Genesee, DARIEN, MEDINA,0,0,72,0,154,110621
1995,Erie, BRANT, MEDINA,0,0,5,0,0,1848
1998,Livingston, NUNDA, MEDINA,0,0,1,0,0,0
1995,Chautauqua, POMFRET, MEDINA,0,0,7,0,0,22543
1997,Cattaraugus, PERRYSBURG, MEDINA,0,0,2,0,0,80
1995,Chautauqua, CLYMER, MEDINA,0,0,1,0,0,0
1995,Seneca, FAYETTE, QUEENSTON,0,0,1,0,0,200
1996,Allegany, SCIO, RICHBURG,31,0,0,0,0,0
1996,Chautauqua, POMFRET, MEDINA,0,0,0,1,0,0
1997,Erie, CHEEKTOWAGA, MEDINA,0,0,1,0,0,3
1995,Chautauqua, NORTH HARMONY, MEDINA,0,0,1,0,0,0
1996,Erie, NEWSTEAD, MEDINA,0,0,1,1,0,227
1996,Ontario, PHELPS, MEDINA,0,0,0,1,0,0
1998,Erie, ALDEN, MEDINA,0,0,4,0,0,16695
1995,Erie, ALDEN, MEDINA,0,0,15,4,0,12092
1997,Chautauqua, NORTH HARMONY, MEDINA,0,0,1,0,13,4010
1998,Chautauqua, WESTFIELD, MEDINA,0,0,19,0,145,76204
1996,Allegany, INDEPENDENCE, FULMER VALLEY,0,0,0,1,0,0
1996,Erie, TONAWANDA, MEDINA,0,0,0,1,0,0
1995,Chautauqua, SHERMAN, MEDINA,0,0,1,0,0,3777
1996,Chautauqua, HARMONY, MEDINA,0,0,2,0,0,3581
1997,Chautauqua, WESTFIELD, MEDINA,0,0,13,1,0,155149
1995,Allegany, INDEPENDENCE, PENNY & FULMER VALLEY,0,0,0,4,0,0
1996,Tioga, OWEGO, MARCELLUS,0,0,0,1,0,0
1996,Erie, ELMA, MEDINA,0,0,1,0,0,0
1997,Chautauqua, HARMONY, MEDINA,0,0,9,0,0,28678
1995,Cattaraugus, LEON, MEDINA,0,0,8,0,0,44336
1995,Chautauqua, ELLERY, MEDINA,0,0,8,0,0,10952
1997,Chautauqua, GERRY, MEDINA,0,0,31,4,0,115748
1996,Chautauqua, BUSTI, GLADE,26,0,0,0,1308,0
1998,Livingston, CALEDONIA, MEDINA,0,0,0,1,0,0
1995,Erie, BRANT, MEDINA,0,0,2,0,0,2129
1995,Cattaraugus, DAYTON, MEDINA,0,0,17,0,0,42241
1995,Chautauqua, NORTH HARMONY, MEDINA,0,0,2,0,0,8680
1996,Cattaraugus, CARROLLTON, CHIPMUNK,2,0,0,0,10,0
1997,Livingston, YORK, MEDINA,0,0,1,0,0,0
1995,Chautauqua, BUSTI, MEDINA,0,0,4,1,0,7317
1997,Chautauqua, BUSTI, MEDINA,0,0,4,2,0,5728
1998,Erie, BRANT, MEDINA,0,0,3,0,0,11885
1996,Allegany, GENESEE, RICHBURG,12,6,0,0,78,0
1996,Erie, LANCASTER, MEDINA,0,0,5,0,0,10327
1996,Chautauqua, MINA, MEDINA,0,0,49,10,0,65874
1995,Allegany, ANDOVER, PENNY & FULMER VALLEY,11,0,0,0,364,140
1995,Chautauqua, ELLERY, MEDINA,0,0,2,0,0,6881
1997,Chautauqua, PORTLAND, MEDINA,0,0,0,1,0,0
1997,Allegany, WIRT, RICHBURG,39,0,0,0,495,0
1998,Chautauqua, POMFRET, MEDINA,0,0,0,1,0,0
1995,Steuben, WEST UNION, FULMER VALLEY,31,2,0,0,1489,360
1995,Allegany, BOLIVAR, UPPER DEVONIAN,0,0,1,0,0,3
1996,Chautauqua, HANOVER, MEDINA,0,0,9,2,0,77117
1997,Erie, LANCASTER, MEDINA,0,0,1,0,0,0
1996,Chautauqua, CLYMER, MEDINA,0,0,1,0,0,0
1995,Erie, EDEN, MEDINA,0,0,22,0,0,11149
1995,Cattaraugus, DAYTON, ONONDAGA,0,0,4,0,0,23559
1995,Erie, EDEN, MEDINA,0,0,2,0,0,885
1997,Chautauqua, SHERIDAN, MEDINA,0,0,0,2,0,0
1996,Cayuga, SUMMERHILL, ORISKANY,0,0,1,0,0,0
1995,Erie, WALES, MEDINA,0,0,1,0,0,156
1995,Erie, ELMA, MEDINA,0,0,1,0,0,574
1998,Chautauqua, SHERIDAN, MEDINA,0,0,8,0,0,23658
