County,Company Name,API Hole Number,Well Type,Production Field Name,Well Name,Town,Months in Production,Gas Produced MCF,Oil Produced bbl,Reporting Year
37,United States Gypsum Co.,20549,GD,Bethany,Coughlin #1 (6754),Bethany,12,415,106,1980
13,Stedman Energy. Inc.,16384,GD,Lakeshore,Persons 2,Sherman,12,9087,530,1970
51,Ardent Resources. Inc.,4151,GD,Leicester,Smith N834,Leicester,10,510,17742,1977
9,Masoodi Mini Ventures. Inc.,22334,GD,Lakeshore,Osswald #1,Leon,12,1975,1582,1977
13,Great Lakes Energy Partners,21210,GD,Lakeshore,Ellington Hardwoods #1,Clymer,12,106,500,1979
13,Belden & Blake Corporation,13764,GW,Lakeshore,Johnson 556 #1,Chautauqua,4,2650,18492,1970
37,United States Gypsum Co.,15166,GD,Huron Creek,Haas #2,Batavia City,12,2253,100,1974
13,Kastle Resources Enterprises. Inc.,17172,GD,Lakeshore,Wolfe #1,Ellington,12,0,2351,1970
37,GFS Energy. Inc.,16152,GW,Alden-Lancaster,Kern 1,Pembroke,12,3358,1331,1973
13,Chautauqua Energy.  Inc.,19796,GD,Lakeshore,Riedesel 2,Westfield,9,4835,758,1973
11,Columbia Natural Resources. Inc.,11656,GE,Auburn,Potter 723-1,Sennett,12,5405,10516,1978
29,Pefley Oil & Gas. Inc.,17246,GD,Orchard Park-Hamburg,Gernold #1,Orchard Park,12,422,15158,1978
13,Great Lakes Energy Partners,14249,GD,Lakeshore,Palermo. R 1,Ripley,3,72,11807,1971
29,Symbol Oil Corp.,18780,GD,Brant-Eden,Czarcinski #1 Ed5,Eden,5,1251,10783,1976
121,Lefort. Leo & Marian,15384,GD,Sheldon,Reisdorf. E #1,Sheldon,12,1848,4050,1977
13,Great Lakes Energy Partners,10771,GD,Lakeshore,Meeder 163,Mina,0,0,4465,1976
29,Weil Resources. Inc.,20403,GD,Brant-Eden,J. B. Land #1,Evans,12,3867,10575,1977
13,Cotton Well Drilling Co.. Inc.,13733,GD,Lakeshore,Nocek #1009,Sheridan,6,1010,250,1970
13,GFS Energy. Inc.,15419,OD,Gerry-Charlotte,Hammond. P #1,Gerry,12,4814,1471,1978
13,Great Lakes Energy Partners,21191,GD,Lakeshore,NYSRA #5-24,Chautauqua,12,4102,100,1979
